Folder,Label
sample4911,1
sample6538,1
sample4856,1
sample_diff1201,0
sample2892,1
sample4119,1
sample8492,1
sample4361,1
sample_diff9346,0
sample8862,1
sample7763,1
sample_diff6455,0
sample3635,1
sample_diff6870,0
sample_diff1523,0
sample2510,1
sample9606,1
sample_diff6773,0
sample_diff10878,0
sample1686,1
sample6808,1
sample6017,1
sample_diff11125,0
sample_diff7753,0
sample_diff2175,0
sample3271,1
sample3267,1
sample8360,1
sample_diff8072,0
sample_diff5033,0
sample_diff266,0
sample_diff9358,0
sample4060,1
sample_diff7525,0
sample_diff2315,0
sample4968,1
sample_diff5869,0
sample2575,1
sample_diff3912,0
sample7774,1
sample_diff3328,0
sample_diff2225,0
sample_diff1464,0
sample_diff5415,0
sample_diff8908,0
sample_diff2033,0
sample_diff10782,0
sample_diff8702,0
sample3912,1
sample3352,1
sample_diff2375,0
sample993,1
sample1436,1
sample_diff8573,0
sample5182,1
sample5516,1
sample_diff894,0
sample6962,1
sample_diff8233,0
sample8999,1
sample5850,1
sample_diff2328,0
sample_diff10709,0
sample_diff9861,0
sample_diff1258,0
sample_diff8795,0
sample198,1
sample3706,1
sample9435,1
sample5554,1
sample6523,1
sample_diff1309,0
sample_diff10956,0
sample3614,1
sample_diff5662,0
sample_diff2685,0
sample_diff5272,0
sample4159,1
sample_diff1415,0
sample5003,1
sample2269,1
sample_diff583,0
sample_diff3378,0
sample_diff7529,0
sample4071,1
sample32,1
sample_diff7941,0
sample_diff3898,0
sample7162,1
sample3640,1
sample_diff10170,0
sample2473,1
sample_diff1799,0
sample_diff9578,0
sample6484,1
sample4797,1
sample_diff5624,0
sample2832,1
sample2514,1
sample_diff9007,0
sample_diff10367,0
sample_diff4538,0
sample6296,1
sample7254,1
sample_diff5755,0
sample_diff4608,0
sample_diff6682,0
sample_diff3523,0
sample9324,1
sample_diff1669,0
sample6029,1
sample_diff8903,0
sample_diff4018,0
sample_diff8042,0
sample_diff7007,0
sample_diff4586,0
sample4981,1
sample_diff7119,0
sample4557,1
sample_diff9752,0
sample_diff8710,0
sample4472,1
sample_diff3702,0
sample_diff4471,0
sample5402,1
sample_diff2453,0
sample_diff11343,0
sample_diff3919,0
sample_diff10544,0
sample_diff3935,0
sample1738,1
sample_diff10222,0
sample_diff8859,0
sample8597,1
sample_diff6590,0
sample_diff9729,0
sample2222,1
sample1036,1
sample_diff4806,0
sample7655,1
sample_diff5512,0
sample_diff2512,0
sample4081,1
sample7767,1
sample569,1
sample9418,1
sample_diff9180,0
sample_diff7727,0
sample5409,1
sample7822,1
sample_diff6741,0
sample_diff3095,0
sample_diff5425,0
sample_diff7862,0
sample_diff1148,0
sample_diff9421,0
sample_diff5123,0
sample7756,1
sample7403,1
sample_diff8919,0
sample5957,1
sample_diff6296,0
sample7977,1
sample_diff1782,0
sample5023,1
sample_diff8921,0
sample4415,1
sample_diff4735,0
sample4410,1
sample_diff9196,0
sample_diff7906,0
sample6095,1
sample4422,1
sample5504,1
sample2559,1
sample3864,1
sample4029,1
sample_diff1735,0
sample_diff7402,0
sample6860,1
sample_diff11218,0
sample_diff4010,0
sample_diff7479,0
sample_diff2291,0
sample_diff10361,0
sample_diff8169,0
sample_diff3880,0
sample_diff9357,0
sample2369,1
sample4739,1
sample6297,1
sample_diff4271,0
sample_diff8845,0
sample_diff11215,0
sample1378,1
sample4684,1
sample1402,1
sample3942,1
sample3522,1
sample2216,1
sample4279,1
sample_diff6389,0
sample_diff4179,0
sample_diff4182,0
sample_diff5215,0
sample9516,1
sample_diff5695,0
sample_diff5508,0
sample813,1
sample_diff9802,0
sample_diff9732,0
sample9589,1
sample4771,1
sample801,1
sample7351,1
sample_diff9237,0
sample_diff5224,0
sample_diff8523,0
sample_diff5498,0
sample_diff9576,0
sample6632,1
sample7449,1
sample_diff679,0
sample_diff10286,0
sample_diff8976,0
sample6589,1
sample_diff9939,0
sample_diff5337,0
sample1638,1
sample_diff3878,0
sample3302,1
sample_diff5119,0
sample_diff7127,0
sample7062,1
sample_diff6548,0
sample9408,1
sample8331,1
sample1941,1
sample_diff3047,0
sample3101,1
sample9207,1
sample_diff3269,0
sample_diff10115,0
sample_diff8503,0
sample3995,1
sample2633,1
sample_diff7393,0
sample9458,1
sample7111,1
sample4528,1
sample3473,1
sample8100,1
sample_diff2461,0
sample_diff4058,0
sample_diff1417,0
sample1490,1
sample5667,1
sample4811,1
sample5413,1
sample_diff4444,0
sample3664,1
sample2508,1
sample3057,1
sample_diff1341,0
sample_diff1545,0
sample_diff2955,0
sample_diff1796,0
sample7746,1
sample9670,1
sample_diff7861,0
sample_diff6242,0
sample2046,1
sample8831,1
sample5923,1
sample_diff5823,0
sample_diff2659,0
sample7753,1
sample5854,1
sample_diff1655,0
sample9051,1
sample_diff3663,0
sample7622,1
sample_diff5497,0
sample5219,1
sample_diff5295,0
sample_diff3085,0
sample216,1
sample_diff4644,0
sample3766,1
sample_diff4863,0
sample7454,1
sample_diff7884,0
sample_diff7754,0
sample_diff3407,0
sample4912,1
sample6490,1
sample7604,1
sample6347,1
sample_diff60,0
sample8621,1
sample5716,1
sample2850,1
sample_diff703,0
sample6902,1
sample1429,1
sample_diff7712,0
sample9362,1
sample_diff10864,0
sample8552,1
sample_diff3146,0
sample_diff5290,0
sample860,1
sample3749,1
sample_diff10862,0
sample7663,1
sample2738,1
sample_diff8448,0
sample1177,1
sample5938,1
sample_diff10091,0
sample_diff10046,0
sample2097,1
sample2557,1
sample_diff3287,0
sample_diff6441,0
sample7680,1
sample_diff7067,0
sample2743,1
sample_diff10171,0
sample_diff10716,0
sample5131,1
sample3813,1
sample6256,1
sample_diff4992,0
sample_diff6118,0
sample1004,1
sample_diff5821,0
sample_diff8217,0
sample_diff4886,0
sample8629,1
sample_diff3796,0
sample_diff4689,0
sample_diff4827,0
sample3875,1
sample9576,1
sample_diff5871,0
sample_diff3553,0
sample_diff8807,0
sample4922,1
sample_diff3014,0
sample_diff8255,0
sample_diff2172,0
sample1963,1
sample1275,1
sample_diff5743,0
sample_diff905,0
sample_diff7950,0
sample_diff6109,0
sample_diff5349,0
sample869,1
sample_diff3679,0
sample_diff10693,0
sample_diff4939,0
sample1953,1
sample_diff1705,0
sample_diff9003,0
sample_diff1205,0
sample_diff11152,0
sample1846,1
sample_diff3517,0
sample_diff3592,0
sample2736,1
sample7180,1
sample1840,1
sample5857,1
sample_diff2789,0
sample_diff1900,0
sample_diff4304,0
sample_diff1138,0
sample_diff11009,0
sample_diff809,0
sample_diff7902,0
sample_diff11276,0
sample5044,1
sample5202,1
sample_diff3642,0
sample_diff10195,0
sample_diff2273,0
sample_diff8641,0
sample_diff356,0
sample_diff7703,0
sample4478,1
sample2947,1
sample7953,1
sample_diff8329,0
sample_diff9151,0
sample2028,1
sample_diff2901,0
sample_diff5406,0
sample9360,1
sample_diff2491,0
sample5932,1
sample_diff1243,0
sample_diff5082,0
sample_diff277,0
sample_diff1200,0
sample4085,1
sample_diff8651,0
sample4108,1
sample_diff8753,0
sample_diff10814,0
sample_diff9550,0
sample_diff9008,0
sample6742,1
sample_diff4643,0
sample710,1
sample_diff9224,0
sample2234,1
sample8737,1
sample_diff4148,0
sample_diff1606,0
sample_diff2539,0
sample_diff10698,0
sample8323,1
sample_diff9788,0
sample_diff8304,0
sample_diff6274,0
sample1007,1
sample_diff10940,0
sample_diff5509,0
sample2572,1
sample_diff7312,0
sample1582,1
sample8979,1
sample_diff9630,0
sample_diff2732,0
sample_diff3883,0
sample_diff7134,0
sample_diff6130,0
sample_diff7180,0
sample6294,1
sample4073,1
sample7865,1
sample_diff6626,0
sample_diff6679,0
sample_diff2037,0
sample_diff2969,0
sample447,1
sample_diff2086,0
sample3411,1
sample_diff9478,0
sample_diff9814,0
sample_diff6949,0
sample_diff6221,0
sample3143,1
sample_diff1292,0
sample5943,1
sample_diff8956,0
sample7367,1
